input,output,time
18,849,18.87
18,847,18.915
18,850,18.975
18,840,19.005
18,842,19.05
18,847,19.095
18,847,19.125
18,848,19.17
18,850,19.215
18,841,19.26
18,843,19.305
18,850,19.335
18,846,19.38
18,848,19.425
189,851,19.47
189,860,19.53
189,454,19.56
189,435,19.59
189,426,19.635
189,414,19.68
189,404,19.725
189,397,19.77
189,395,19.815
189,408,19.86
189,410,19.905
189,398,19.935
189,397,19.98
189,391,20.025
189,387,20.085
189,401,20.115
189,408,20.16
189,402,20.205
189,396,20.25
189,391,20.295
189,386,20.325
189,401,20.37
189,409,20.415
189,401,20.46
123,393,20.505
123,390,20.55
123,460,20.595
123,458,20.64
123,450,20.685
123,499,20.715
123,490,20.76
123,481,20.805
123,464,20.85
123,456,20.895
123,449,20.94
123,439,20.985
123,455,21.03
123,472,21.06
123,469,21.105
123,460,21.15
123,451,21.195
123,438,21.24
123,452,21.285
123,464,21.33
123,477,21.375
123,441,21.405
123,451,21.45
123,438,21.495
116,456,21.54
116,461,21.585
116,485,21.63
116,496,21.675
116,504,21.72
116,477,21.75
116,462,21.795
116,474,21.84
116,485,21.885
116,495,21.93
116,503,21.975
116,511,22.02
116,505,22.065
116,509,22.095
116,483,22.14
116,494,22.185
116,502,22.23
116,509,22.275
116,505,22.32
116,491,22.365
116,479,22.41
116,485,22.44
116,502,22.485
116,508,22.53
190,499,22.575
190,496,22.62
190,389,22.665
190,386,22.71
190,384,22.755
190,380,22.815
190,398,22.83
190,391,22.875
190,387,22.92
190,386,22.965
190,383,23.01
190,382,23.055
190,396,23.1
190,387,23.13
190,389,23.175
190,385,23.22
190,385,23.265
190,382,23.31
190,378,23.37
190,391,23.4
190,389,23.43
190,386,23.475
190,384,23.52
190,383,23.565
247,379,23.61
247,393,23.655
247,346,23.7
247,345,23.73
247,345,23.775
247,345,23.82
247,345,23.865
247,345,23.925
247,345,23.955
247,345,24.0
247,346,24.03
247,345,24.075
247,345,24.12
247,345,24.165
247,346,24.21
247,345,24.255
247,345,24.3
247,345,24.33
247,345,24.375
247,345,24.42
247,346,24.465
247,346,24.51
247,346,24.555
247,345,24.6
56,348,24.63
56,345,24.675
56,630,24.735
56,640,24.765
56,609,24.81
56,609,24.855
56,616,24.885
56,624,24.93
56,632,24.975
56,641,25.02
56,620,25.065
56,658,25.095
56,613,25.14
56,620,25.185
56,629,25.23
56,644,25.29
56,649,25.305
56,603,25.35
56,609,25.395
56,619,25.44
56,627,25.485
56,637,25.53
56,626,25.56
56,603,25.605
17,613,25.65
17,617,25.695
17,816,25.74
17,843,25.77
17,824,25.815
17,827,25.86
17,837,25.905
17,840,25.95
17,858,25.98
17,861,26.025
17,837,26.07
17,834,26.115
17,841,26.16
17,860,26.19
17,861,26.235
17,864,26.28
17,863,26.325
17,834,26.37
17,859,26.4
17,861,26.445
17,861,26.49
17,864,26.535
17,874,26.58
17,855,26.61
157,861,26.655
157,861,26.7
157,496,26.745
157,463,26.79
157,443,26.835
157,457,26.865
157,455,26.91
157,458,26.955
157,450,27.0
157,440,27.045
157,431,27.09
157,423,27.135
157,444,27.165
157,451,27.21
157,447,27.255
157,436,27.3
157,426,27.345
157,420,27.39
157,418,27.435
157,413,27.48
157,450,27.51
157,436,27.555
157,427,27.6
157,421,27.645
230,415,27.69
230,414,27.735
230,356,27.78
230,360,27.81
230,358,27.855
230,357,27.9
230,356,27.945
230,356,27.99
230,355,28.035
230,355,28.08
230,358,28.11
230,357,28.155
230,357,28.2
230,356,28.245
230,355,28.29
230,354,28.335
230,356,28.38
230,354,28.41
230,356,28.455
230,356,28.5
230,355,28.545
230,355,28.59
230,355,28.635
230,354,28.68
3,365,28.725
3,356,28.755
3,920,28.8
3,961,28.845
3,969,28.875
3,981,28.92
3,980,28.965
3,985,29.01
3,988,29.04
3,990,29.085
3,991,29.13
3,993,29.175
3,991,29.205
3,992,29.25
3,993,29.295
3,993,29.34
3,993,29.37
3,992,29.415
3,993,29.46
3,996,29.49
3,993,29.535
3,995,29.58
3,993,29.625
3,993,29.655
3,993,29.7
139,993,29.745
139,993,29.79
139,623,29.835
139,545,29.88
139,488,29.91
139,479,29.955
139,479,30.0
139,482,30.045
139,486,30.09
139,488,30.135
139,437,30.165
139,449,30.21
139,459,30.255
139,469,30.3
139,476,30.345
139,476,30.39
139,464,30.435
139,449,30.495
139,456,30.51
139,465,30.555
139,473,30.6
139,482,30.645
139,466,30.69
139,451,30.735
79,459,30.78
79,462,30.81
79,578,30.855
79,585,30.9
79,593,30.945
79,576,30.99
79,566,31.02
79,575,31.065
79,581,31.11
79,585,31.155
79,592,31.2
79,553,31.23
79,565,31.275
79,574,31.32
79,581,31.365
79,585,31.41
79,540,31.44
79,551,31.485
79,563,31.53
79,572,31.575
79,580,31.62
79,528,31.65
79,537,31.695
79,550,31.74
204,561,31.785
204,571,31.83
204,383,31.86
204,379,31.905
204,375,31.95
204,372,31.995
204,368,32.04
204,381,32.085
204,398,32.13
204,390,32.175
204,378,32.205
204,370,32.25
204,362,32.295
204,378,32.34
204,385,32.385
204,391,32.43
204,385,32.475
204,382,32.52
204,380,32.55
204,373,32.595
204,386,32.64
204,392,32.685
204,387,32.73
204,382,32.775
66,377,32.82
66,376,32.865
66,594,32.895
66,619,32.94
66,624,32.985
66,628,33.03
66,620,33.075
66,604,33.105
66,614,33.15
66,620,33.195
66,624,33.24
66,625,33.285
66,624,33.33
66,603,33.36
66,612,33.405
66,620,33.45
66,622,33.495
66,626,33.54
66,589,33.57
66,600,33.615
66,610,33.66
66,615,33.705
66,620,33.75
66,578,33.78
22,591,33.825
22,595,33.87
22,788,33.915
22,806,33.96
22,788,33.99
22,798,34.035
22,803,34.08
22,807,34.125
22,814,34.17
22,788,34.2
22,798,34.245
22,801,34.29
22,808,34.335
22,809,34.38
22,827,34.41
22,787,34.455
22,800,34.5
22,803,34.545
22,805,34.575
22,826,34.62
22,835,34.665
22,784,34.71
22,800,34.755
22,812,34.785
167,809,34.83
167,811,34.89
167,471,34.92
167,436,34.965
167,424,35.01
167,415,35.055
167,448,35.085
167,401,35.13
167,419,35.175
167,414,35.22
167,409,35.265
167,407,35.31
167,402,35.355
167,398,35.4
167,410,35.445
167,410,35.475
167,408,35.52
167,405,35.565
167,402,35.61
167,392,35.655
167,405,35.7
167,418,35.745
167,430,35.79
167,405,35.82
208,399,35.865
208,401,35.91
208,361,35.955
208,374,36.0
208,383,36.045
208,372,36.075
208,370,36.12
208,368,36.165
208,360,36.21
208,373,36.255
208,393,36.3
208,389,36.345
208,382,36.39
208,368,36.42
208,359,36.465
208,372,36.51
208,380,36.555
208,389,36.6
208,382,36.645
208,377,36.69
208,367,36.72
208,368,36.765
208,380,36.81
208,391,36.855
141,382,36.9
141,379,36.945
141,451,36.99
141,445,37.02
141,455,37.065
141,467,37.11
141,473,37.155
141,470,37.2
141,452,37.245
141,443,37.29
141,473,37.32
141,466,37.365
141,473,37.41
141,469,37.455
141,455,37.5
141,445,37.545
141,435,37.59
141,438,37.62
141,472,37.665
141,465,37.71
141,456,37.755
141,447,37.8
141,438,37.845
141,433,37.89
155,426,37.935
155,464,37.965
155,440,38.01
155,429,38.055
155,423,38.1
155,418,38.145
155,413,38.19
155,413,38.235
155,415,38.28
155,429,38.31
155,424,38.355
155,420,38.4
155,414,38.445
155,413,38.49
155,412,38.535
155,424,38.58
155,424,38.61
155,419,38.655
155,416,38.7
155,412,38.745
155,410,38.79
155,423,38.835
155,433,38.88
155,410,38.91
125,413,38.955
125,411,39.0
125,451,39.045
125,464,39.09
125,477,39.135
125,485,39.18
125,452,39.21
125,447,39.255
125,451,39.3
125,464,39.345
125,474,39.39
125,485,39.435
125,494,39.48
125,437,39.51
125,448,39.555
125,461,39.6
125,474,39.645
125,484,39.69
125,492,39.735
125,504,39.78
125,448,39.81
125,462,39.855
125,472,39.9
125,483,39.945
158,493,39.99
158,499,40.035
158,433,40.095
158,416,40.125
158,421,40.155
158,435,40.2
158,444,40.245
158,448,40.29
158,441,40.335
158,410,40.38
158,424,40.425
158,437,40.47
158,444,40.5
158,452,40.545
158,438,40.59
158,427,40.65
158,421,40.68
158,433,40.725
158,444,40.77
158,449,40.8
158,439,40.845
158,430,40.89
158,421,40.935
158,433,40.98
16,445,41.025
16,421,41.055
16,832,41.1
16,861,41.145
16,867,41.205
16,866,41.235
16,873,41.28
16,872,41.31
16,876,41.355
16,877,41.4
16,887,41.445
16,876,41.475
16,874,41.52
16,876,41.565
16,876,41.61
16,878,41.655
16,880,41.7
16,869,41.73
16,872,41.775
16,874,41.82
16,875,41.865
16,877,41.91
16,866,41.94
16,869,41.985
54,871,42.03
54,873,42.075
54,717,42.12
54,668,42.15
54,667,42.195
54,668,42.24
54,670,42.285
54,673,42.33
54,629,42.36
54,634,42.405
54,644,42.45
54,648,42.495
54,657,42.54
54,620,42.57
54,620,42.615
54,627,42.66
54,633,42.705
54,643,42.75
54,643,42.78
54,617,42.825
54,614,42.87
54,623,42.915
54,629,42.96
54,674,42.99
157,630,43.035
157,620,43.08
157,433,43.125
157,422,43.17
157,413,43.215
157,419,43.26
157,430,43.29
157,424,43.335
157,420,43.38
157,414,43.425
157,414,43.47
157,415,43.515
157,429,43.56
157,401,43.59
157,417,43.635
157,414,43.68
157,412,43.725
157,411,43.77
157,424,43.815
157,436,43.86
157,448,43.905
157,445,43.935
157,411,43.98
157,412,44.025
56,426,44.07
56,435,44.115
56,640,44.16
56,650,44.205
56,613,44.235
56,624,44.28
56,631,44.325
56,645,44.37
56,649,44.415
56,637,44.445
56,612,44.49
56,622,44.535
56,629,44.58
56,643,44.625
56,648,44.67
56,602,44.7
56,612,44.745
56,621,44.79
56,630,44.835
56,639,44.865
56,610,44.91
56,604,44.955
56,611,45.0
56,617,45.045
53,643,45.075
53,634,45.12
53,625,45.165
53,612,45.21
53,622,45.255
53,630,45.285
53,671,45.33
53,649,45.375
53,627,45.42
53,614,45.465
53,633,45.495
53,627,45.54
53,667,45.585
53,657,45.63
53,628,45.675
53,612,45.72
53,617,45.75
53,624,45.795
53,635,45.855
53,666,45.885
53,628,45.93
53,612,45.96
53,614,46.005
53,622,46.05
118,635,46.095
118,662,46.14
118,489,46.185
118,477,46.215
118,467,46.26
118,453,46.305
118,468,46.35
118,482,46.41
118,476,46.44
118,466,46.485
118,459,46.53
118,451,46.56
118,461,46.605
118,475,46.65
118,476,46.695
118,467,46.74
118,462,46.785
118,448,46.83
118,505,46.86
118,471,46.905
118,488,46.965
118,470,46.995
118,463,47.04
118,450,47.085
49,466,47.13
49,473,47.175
49,639,47.205
49,634,47.25
49,624,47.295
49,632,47.34
49,642,47.385
49,653,47.43
49,660,47.46
49,642,47.505
49,632,47.55
49,639,47.595
49,647,47.64
49,650,47.67
49,659,47.715
49,669,47.775
49,627,47.805
49,633,47.85
49,642,47.88
49,646,47.925
49,657,47.97
49,666,48.015
49,623,48.06
49,634,48.09
163,647,48.135
163,648,48.18
163,427,48.225
163,428,48.27
163,442,48.33
163,412,48.36
163,409,48.39
163,398,48.435
163,410,48.48
163,420,48.525
163,431,48.57
163,410,48.615
163,406,48.66
163,408,48.69
163,406,48.735
163,416,48.78
163,431,48.825
163,446,48.885
163,405,48.915
163,397,48.96
163,407,49.005
163,418,49.05
163,427,49.08
163,440,49.125
35,404,49.17
35,406,49.215
35,709,49.26
35,727,49.305
35,735,49.335
35,745,49.38
35,717,49.425
35,724,49.47
35,726,49.515
35,735,49.545
35,740,49.59
35,747,49.635
35,745,49.695
35,722,49.725
35,727,49.77
35,732,49.8
35,735,49.845
35,745,49.89
35,744,49.935
35,718,49.98
35,723,50.01
35,728,50.055
35,733,50.1
35,741,50.145
84,741,50.175
84,716,50.22
84,560,50.265
84,561,50.31
84,567,50.355
84,573,50.4
84,532,50.43
84,527,50.475
84,535,50.52
84,547,50.565
84,553,50.595
84,539,50.64
84,525,50.685
84,521,50.73
84,531,50.775
84,544,50.82
84,555,50.85
84,541,50.895
84,529,50.94
84,518,50.985
84,529,51.03
84,578,51.06
84,567,51.105
84,545,51.15
116,520,51.195
116,517,51.24
116,465,51.285
116,507,51.315
116,494,51.36
116,479,51.405
116,472,51.45
116,462,51.495
116,458,51.54
116,469,51.585
116,482,51.63
116,482,51.66
116,470,51.705
116,463,51.75
116,456,51.795
116,469,51.84
116,482,51.885
116,492,51.93
116,501,51.975
116,463,52.005
116,450,52.05
116,465,52.095
116,478,52.14
116,490,52.185
30,501,52.23
30,507,52.275
30,728,52.305
30,737,52.35
30,750,52.395
30,758,52.44
30,767,52.485
30,770,52.53
30,744,52.56
30,752,52.605
30,755,52.65
30,759,52.695
30,768,52.74
30,741,52.77
30,744,52.815
30,749,52.86
30,755,52.905
30,758,52.95
30,736,52.98
30,734,53.025
30,742,53.07
30,749,53.115
30,754,53.16
30,785,53.19
193,732,53.235
193,732,53.28
193,412,53.325
193,395,53.37
193,388,53.415
193,386,53.46
193,392,53.49
193,388,53.535
193,386,53.58
193,383,53.625
193,380,53.67
193,379,53.715
193,393,53.76
193,390,53.79
193,384,53.835
193,382,53.88
193,379,53.925
193,373,53.97
193,390,54.015
193,399,54.06
193,407,54.105
193,397,54.15
193,379,54.18
193,374,54.225
22,394,54.27
22,400,54.315
22,796,54.36
22,809,54.39
22,809,54.435
22,816,54.48
22,821,54.525
22,828,54.57
22,830,54.615
22,811,54.645
22,813,54.69
22,817,54.735
22,822,54.78
22,826,54.825
22,802,54.855
22,808,54.9
22,813,54.945
22,817,54.99
22,818,55.035
22,812,55.065
22,802,55.11
22,808,55.155
22,812,55.2
22,813,55.245
211,797,55.275
211,801,55.32
211,410,55.365
211,389,55.41
211,381,55.455
211,375,55.5
211,366,55.545
211,376,55.59
211,374,55.62
211,373,55.665
211,370,55.71
211,368,55.755
211,361,55.8
211,372,55.845
211,391,55.89
211,371,55.92
211,368,55.965
211,367,56.01
211,369,56.055
211,370,56.1
211,390,56.145
211,385,56.19
211,367,56.22
211,367,56.265
24,364,56.31
24,367,56.355
24,783,56.4
24,809,56.445
24,791,56.475
24,798,56.52
24,805,56.565
24,808,56.61
24,813,56.655
24,806,56.685
24,794,56.73
24,799,56.775
24,805,56.82
24,808,56.865
24,812,56.91
24,786,56.94
24,793,56.985
24,797,57.03
24,801,57.075
24,807,57.12
24,806,57.15
24,785,57.195
24,790,57.24
24,795,57.285
89,814,57.315
89,802,57.375
89,592,57.405
89,555,57.45
89,524,57.495
89,531,57.54
89,535,57.57
89,544,57.615
89,551,57.66
89,532,57.705
89,516,57.75
89,512,57.78
89,524,57.825
89,536,57.87
89,549,57.93
89,531,57.96
89,520,57.99
89,508,58.035
89,518,58.08
89,530,58.125
89,543,58.17
89,533,58.2
89,519,58.245
89,502,58.29
251,516,58.335
251,528,58.38
251,356,58.41
251,350,58.455
251,348,58.5
251,347,58.545
251,346,58.59
251,346,58.635
251,345,58.68
251,339,58.71
251,346,58.755
251,345,58.8
251,345,58.845
251,345,58.89
251,345,58.935
251,347,58.98
251,345,59.025
251,345,59.055
251,345,59.1
251,345,59.145
251,345,59.19
251,346,59.235
251,347,59.295
251,345,59.325
223,345,59.37
223,344,59.4
223,359,59.445
223,357,59.49
223,376,59.535
223,361,59.58
223,361,59.625
223,360,59.67
223,370,59.7
223,359,59.745
223,378,59.79
223,373,59.85
223,361,59.88
223,360,59.925
223,359,59.97
223,364,60.0
223,364,60.045
223,373,60.09
223,362,60.135
223,360,60.18
223,362,60.225
223,357,60.27
223,364,60.3
223,376,60.345
42,368,60.405
42,361,60.435
42,677,60.48
42,730,60.51
42,707,60.555
42,719,60.6
42,717,60.645
42,691,60.69
42,696,60.72
42,698,60.765
42,710,60.81
42,713,60.855
42,716,60.9
42,686,60.93
42,693,60.975
42,698,61.02
42,704,61.065
42,714,61.11
42,676,61.14
42,682,61.185
42,690,61.23
42,694,61.275
42,702,61.32
42,674,61.35
42,671,61.395
123,685,61.44
123,685,61.485
123,490,61.53
123,493,61.575
123,497,61.62
123,468,61.65
123,460,61.695
123,457,61.74
123,466,61.785
123,478,61.83
123,489,61.875
123,498,61.92
123,466,61.95
123,449,61.995
123,465,62.04
123,477,62.085
123,486,62.13
123,495,62.175
123,502,62.22
123,498,62.265
123,497,62.295
123,474,62.34
123,483,62.385
123,493,62.43
228,502,62.475
228,502,62.52
228,366,62.565
228,351,62.61
228,364,62.64
228,372,62.685
228,367,62.73
228,364,62.775
228,363,62.82
228,360,62.865
228,360,62.91
228,370,62.955
228,366,63.0
228,365,63.03
228,363,63.075
228,361,63.135
228,358,63.165
228,371,63.21
228,367,63.255
228,360,63.285
228,363,63.33
228,362,63.375
228,356,63.42
228,371,63.465
43,365,63.51
43,364,63.555
43,704,63.6
43,722,63.63
43,685,63.69
43,712,63.72
43,715,63.765
43,713,63.795
43,719,63.84
43,725,63.885
43,690,63.93
43,708,63.975
43,725,64.005
43,713,64.05
43,716,64.095
43,719,64.14
43,695,64.185
43,664,64.245
43,711,64.26
43,709,64.305
43,711,64.35
43,715,64.395
43,705,64.44
43,702,64.47
13,710,64.515
13,709,64.56
13,859,64.605
13,874,64.65
13,870,64.68
13,876,64.725
13,883,64.77
13,886,64.815
13,888,64.86
13,879,64.89
13,883,64.935
13,886,64.98
13,888,65.025
13,889,65.07
13,879,65.1
13,883,65.145
13,885,65.19
13,886,65.235
13,889,65.28
