input,output,time
19,821,76.275
19,824,76.32
19,830,76.365
19,833,76.41
19,857,76.44
19,818,76.485
19,824,76.53
19,825,76.575
19,830,76.62
19,847,76.65
19,848,76.695
234,811,76.74
234,822,76.785
234,401,76.83
234,381,76.875
234,377,76.905
234,372,76.95
234,367,76.995
234,364,77.04
234,362,77.085
234,360,77.13
234,358,77.175
234,359,77.22
234,358,77.25
234,358,77.295
234,357,77.34
234,356,77.385
234,355,77.43
234,355,77.475
234,352,77.52
234,364,77.565
234,354,77.595
234,355,77.64
234,354,77.685
234,354,77.73
106,365,77.775
106,364,77.82
106,525,77.865
106,535,77.91
106,528,77.94
106,499,77.985
106,511,78.03
106,519,78.075
106,526,78.12
106,534,78.165
106,535,78.21
106,515,78.255
106,520,78.285
106,517,78.33
106,526,78.375
106,531,78.42
106,533,78.465
106,511,78.51
106,502,78.555
106,489,78.6
106,524,78.63
106,530,78.675
106,541,78.72
106,514,78.765
32,495,78.81
32,493,78.855
32,702,78.9
32,750,78.93
32,759,78.975
32,764,79.02
32,751,79.065
32,717,79.11
32,758,79.14
32,760,79.185
32,763,79.23
32,767,79.275
32,763,79.32
32,751,79.35
32,759,79.395
32,763,79.44
32,764,79.485
32,766,79.53
32,745,79.56
32,750,79.605
32,760,79.65
32,759,79.695
32,762,79.74
32,741,79.77
185,748,79.815
185,752,79.86
185,436,79.905
185,433,79.95
185,422,79.995
185,409,80.04
185,388,80.07
185,396,80.115
185,408,80.16
185,416,80.205
185,412,80.25
185,404,80.295
185,399,80.34
185,402,80.37
185,404,80.415
185,422,80.46
185,414,80.505
185,404,80.55
185,399,80.595
185,394,80.64
185,392,80.685
185,404,80.715
185,414,80.76
185,404,80.805
15,396,80.85
15,395,80.895
15,803,80.94
15,848,80.985
15,874,81.015
15,881,81.06
15,883,81.105
15,894,81.15
15,849,81.195
15,883,81.225
15,884,81.27
15,884,81.315
15,886,81.36
15,895,81.405
15,854,81.45
15,881,81.48
15,883,81.525
15,885,81.57
15,884,81.615
15,885,81.66
15,876,81.69
15,879,81.735
15,881,81.78
15,882,81.825
104,884,81.87
104,873,81.9
104,580,81.945
104,561,81.99
104,556,82.035
104,555,82.08
104,554,82.125
104,533,82.17
104,522,82.2
104,527,82.245
104,535,82.29
104,539,82.335
104,551,82.38
104,521,82.425
104,509,82.47
104,525,82.5
104,529,82.545
104,534,82.59
104,544,82.635
104,522,82.68
104,506,82.725
104,496,82.77
104,510,82.8
104,532,82.845
6,535,82.89
6,529,82.935
6,904,82.98
6,920,83.01
6,937,83.055
6,944,83.1
6,947,83.13
6,947,83.175
6,948,83.22
6,951,83.265
6,952,83.295
6,954,83.34
6,955,83.385
6,956,83.445
6,953,83.46
6,955,83.505
6,956,83.55
6,956,83.595
6,952,83.625
6,953,83.67
6,955,83.715
6,956,83.76
6,943,83.79
6,952,83.835
6,953,83.88
228,954,83.925
228,957,83.955
228,429,84.0
228,391,84.045
228,377,84.09
228,370,84.135
228,366,84.18
228,364,84.21
228,366,84.255
228,363,84.3
228,362,84.345
228,361,84.39
228,359,84.435
228,358,84.48
228,361,84.525
228,360,84.555
228,359,84.6
228,359,84.645
228,358,84.69
228,357,84.735
228,356,84.78
228,357,84.825
228,371,84.87
228,359,84.9
183,357,84.945
183,357,84.99
183,381,85.035
183,396,85.08
183,408,85.125
183,426,85.17
183,389,85.2
183,388,85.245
183,383,85.29
183,392,85.335
183,406,85.38
183,423,85.425
183,415,85.47
183,385,85.5
183,382,85.545
183,392,85.59
183,406,85.635
183,424,85.68
183,414,85.725
183,407,85.77
183,408,85.8
183,392,85.845
183,403,85.89
183,414,85.935
173,413,85.98
173,407,86.025
173,413,86.07
173,406,86.115
173,414,86.145
173,425,86.19
173,432,86.235
173,422,86.28
173,412,86.325
173,406,86.37
173,404,86.415
173,427,86.46
173,425,86.49
173,424,86.535
173,416,86.58
173,408,86.625
173,404,86.67
173,400,86.73
173,433,86.76
173,400,86.79
173,417,86.835
173,407,86.88
173,404,86.925
173,402,86.97
125,425,87.015
125,425,87.06
125,484,87.105
125,458,87.135
125,465,87.18
125,459,87.225
125,447,87.285
125,507,87.315
125,488,87.36
125,477,87.405
125,462,87.45
125,454,87.495
125,478,87.525
125,470,87.57
125,492,87.615
125,473,87.66
125,466,87.705
125,458,87.75
125,450,87.795
125,446,87.84
125,457,87.885
125,448,87.915
125,464,87.96
125,458,88.005
202,448,88.05
202,440,88.095
202,375,88.14
202,368,88.185
202,384,88.23
202,365,88.26
202,378,88.305
202,376,88.35
202,373,88.395
202,370,88.44
202,383,88.485
202,403,88.53
202,396,88.575
202,396,88.605
202,374,88.65
202,370,88.695
202,382,88.74
202,389,88.785
202,397,88.83
202,389,88.875
202,386,88.92
202,384,88.965
202,376,88.995
202,390,89.04
177,395,89.085
177,390,89.13
177,414,89.175
177,407,89.22
177,401,89.265
177,400,89.31
177,425,89.34
177,427,89.385
177,415,89.43
177,408,89.475
177,404,89.52
177,401,89.565
177,399,89.61
177,396,89.655
177,411,89.685
177,408,89.73
177,402,89.775
177,400,89.82
177,399,89.865
177,395,89.91
177,395,89.955
177,397,90.015
177,402,90.045
177,401,90.075
131,396,90.12
131,396,90.165
131,439,90.21
131,455,90.255
131,460,90.3
131,454,90.345
131,445,90.39
131,442,90.42
131,437,90.465
131,452,90.51
131,469,90.57
131,452,90.6
131,445,90.645
131,441,90.69
131,436,90.72
131,450,90.765
131,462,90.81
131,455,90.855
131,447,90.9
131,441,90.945
131,439,90.99
131,450,91.02
131,461,91.065
16,478,91.125
16,448,91.155
16,813,91.2
16,843,91.245
16,851,91.275
16,859,91.32
16,865,91.365
16,850,91.41
16,858,91.455
16,864,91.485
16,863,91.53
16,867,91.575
16,869,91.62
16,857,91.665
16,859,91.71
16,860,91.74
16,864,91.785
16,866,91.83
16,869,91.875
16,872,91.935
16,856,91.95
16,861,91.995
16,864,92.04
16,865,92.085
162,870,92.13
162,860,92.16
162,470,92.205
162,441,92.25
162,429,92.295
162,421,92.34
162,430,92.385
162,440,92.43
162,451,92.49
162,415,92.505
162,411,92.55
162,410,92.595
162,420,92.64
162,435,92.685
162,444,92.73
162,410,92.775
162,399,92.82
162,404,92.85
162,417,92.895
162,428,92.94
162,441,92.985
162,448,93.045
162,409,93.075
162,408,93.12
158,424,93.165
158,422,93.195
158,444,93.24
158,458,93.285
158,411,93.33
158,410,93.375
158,421,93.42
158,435,93.465
158,445,93.51
158,457,93.555
158,444,93.585
158,408,93.63
158,422,93.675
158,433,93.72
158,445,93.765
158,459,93.81
158,446,93.855
158,433,93.9
158,417,93.93
158,431,93.975
158,442,94.02
158,459,94.065
158,446,94.11
158,435,94.155
159,421,94.2
159,446,94.23
159,442,94.275
159,450,94.32
159,444,94.365
159,434,94.41
159,425,94.455
159,419,94.5
159,421,94.53
159,448,94.575
159,449,94.62
159,435,94.665
159,428,94.71
159,421,94.755
159,416,94.8
159,414,94.845
159,442,94.875
159,439,94.92
159,427,94.965
159,422,95.01
159,419,95.055
159,413,95.1
159,411,95.145
159,408,95.19
216,423,95.22
216,422,95.265
216,370,95.31
216,369,95.355
216,367,95.4
216,366,95.445
216,368,95.49
216,371,95.52
216,369,95.565
216,369,95.61
216,367,95.655
216,365,95.7
216,367,95.745
216,368,95.79
216,366,95.82
216,368,95.865
216,367,95.91
216,366,95.955
216,368,96.0
216,364,96.045
216,387,96.09
216,369,96.12
216,368,96.165
216,366,96.21
57,357,96.255
57,362,96.3
57,638,96.345
57,601,96.375
57,611,96.42
57,620,96.465
57,630,96.51
57,640,96.555
57,626,96.585
57,599,96.63
57,613,96.675
57,620,96.72
57,626,96.765
57,634,96.795
57,635,96.84
57,608,96.885
57,608,96.93
57,616,96.975
57,625,97.02
57,670,97.05
57,638,97.095
57,605,97.14
57,605,97.185
57,613,97.23
71,661,97.26
71,663,97.305
71,592,97.35
71,578,97.395
71,556,97.44
71,613,97.47
71,616,97.515
71,624,97.56
71,595,97.605
71,578,97.65
71,553,97.695
71,609,97.725
71,613,97.77
71,624,97.815
71,592,97.86
71,580,97.89
71,564,97.935
71,610,97.98
71,612,98.025
71,622,98.07
71,603,98.1
71,583,98.145
71,561,98.19
71,560,98.25
143,615,98.28
143,614,98.31
143,460,98.355
143,446,98.4
143,440,98.445
143,435,98.49
143,478,98.535
143,461,98.58
143,456,98.61
143,445,98.655
143,439,98.7
143,433,98.745
143,429,98.805
143,461,98.835
143,453,98.88
143,425,98.91
143,439,98.955
143,431,99.0
143,427,99.045
143,463,99.09
143,451,99.135
143,442,99.18
143,440,99.21
143,432,99.255
122,427,99.3
122,462,99.345
122,490,99.39
122,475,99.435
122,465,99.48
122,459,99.51
122,455,99.555
122,459,99.615
122,489,99.645
122,478,99.69
122,466,99.735
122,462,99.78
122,454,99.825
122,509,99.855
122,456,99.9
122,481,99.945
122,467,99.99
122,458,100.035
