time,input,output
16.636,118,481
16.68,118,388
16.722,118,630
16.766,119,382
16.81,119,534
16.852,119,456
16.896,119,396
16.94,120,566
16.982,120,411
17.026,120,499
17.07,121,541
17.112,121,413
17.156,121,540
17.2,122,399
17.241,122,568
17.285,122,466
17.329,123,399
17.372,123,547
17.416,123,422
17.459,123,482
17.503,124,565
17.547,124,374
17.59,124,583
17.633,125,403
17.677,125,446
17.72,125,599
17.763,126,361
17.807,126,560
17.85,126,429
17.893,127,410
17.937,127,565
17.98,127,375
18.023,127,574
18.067,128,442
18.11,128,373
18.153,128,525
18.197,129,348
18.24,129,558
18.283,129,431
18.327,130,367
18.37,130,568
18.413,130,387
18.456,131,562
18.5,131,431
18.542,131,480
18.585,131,512
18.629,132,358
18.673,132,551
18.716,132,420
18.761,133,360
18.805,133,524
18.848,133,367
18.892,134,491
18.936,134,510
18.979,134,361
19.023,135,496
19.067,135,425
19.11,135,324
19.153,135,528
19.197,136,360
19.24,136,519
19.283,136,420
19.327,137,336
19.37,137,539
19.413,137,361
19.456,138,529
19.5,138,445
19.542,138,425
19.585,139,514
19.629,139,320
19.673,139,539
19.716,139,386
19.76,140,309
19.803,140,559
19.846,140,328
19.89,141,483
19.933,141,398
19.976,141,321
20.02,142,550
20.063,142,298
20.106,142,510
20.15,143,443
20.193,143,387
20.236,143,568
20.28,143,352
20.322,144,581
20.366,144,461
20.41,144,315
20.452,145,590
20.496,145,334
20.54,145,533
20.582,146,425
20.626,146,332
20.67,146,589
20.712,147,315
20.756,147,486
20.8,147,461
20.841,147,379
20.885,148,543
20.929,148,335
20.972,148,529
21.016,149,495
21.06,149,386
21.102,149,508
21.146,150,331
21.19,150,483
21.232,150,452
21.276,151,291
21.319,151,603
21.364,151,349
21.408,151,441
21.451,152,540
21.495,152,293
21.539,152,551
21.582,153,458
21.626,153,315
21.67,153,544
21.712,154,379
21.756,154,498
21.8,154,490
21.841,155,357
21.885,155,521
21.929,155,367
21.972,156,442
22.016,156,481
22.06,156,324
22.102,156,532
22.146,157,334
22.19,157,437
22.232,157,467
22.276,158,310
22.319,158,568
22.363,158,382
22.407,159,389
22.45,159,584
22.493,159,315
22.537,160,600
22.58,160,360
22.623,160,442
22.667,160,554
22.71,161,250
22.753,161,609
22.797,161,309
22.84,162,391
22.883,162,533
22.927,162,261
22.97,163,555
23.013,163,357
23.057,163,360
23.1,164,534
23.142,164,300
23.186,164,537
23.229,164,398
23.273,165,344
23.316,165,517
23.36,165,323
23.403,166,523
23.446,166,402
23.49,166,293
23.533,167,516
23.576,167,291
23.62,167,447
23.663,168,394
23.706,168,300
23.75,168,535
23.793,168,305
23.836,169,499
23.881,169,413
23.925,169,277
23.968,170,541
24.012,170,310
24.056,170,411
24.099,171,525
24.143,171,271
24.187,171,540
24.23,172,388
24.273,172,355
24.316,172,552
24.36,172,313
24.403,173,517
24.446,173,386
24.49,173,285
24.533,174,525
24.576,174,291
24.62,174,486
24.663,175,357
24.706,175,271
24.75,175,585
24.793,176,256
24.836,176,517
24.88,176,395
24.923,176,280
24.966,177,572
25.01,177,268
25.053,177,523
25.096,178,410
25.14,178,248
25.183,178,584
25.226,179,289
25.27,179,452
25.312,179,414
25.356,180,250
25.4,180,548
25.441,180,252
25.485,180,509
25.529,181,373
25.572,181,237
25.616,181,577
25.66,182,266
25.702,182,492
25.746,182,397
25.79,183,237
25.832,183,573
25.876,183,270
25.92,184,391
25.962,184,384
26.006,184,231
26.05,184,549
26.092,185,276
26.136,185,402
26.179,185,480
26.223,186,204
26.267,186,564
26.31,186,340
26.353,187,343
26.397,187,520
26.441,187,273
26.485,188,499
26.529,188,412
26.572,188,252
26.616,188,514
26.66,189,280
26.702,189,446
26.746,189,476
26.79,190,250
26.832,190,521
26.876,190,308
26.92,191,348
26.962,191,433
27.006,191,246
27.05,192,539
27.092,192,274
27.136,192,350
27.18,192,527
27.222,193,210
27.266,193,539
27.309,193,299
27.353,194,319
27.397,194,531
27.44,194,253
27.483,195,512
27.527,195,370
27.57,195,244
27.613,196,525
27.657,196,246
27.7,196,482
27.742,196,301
27.786,197,321
27.829,197,512
27.873,197,246
27.917,198,494
27.96,198,400
28.003,198,258
28.047,199,563
28.09,199,235
28.133,199,499
28.176,200,391
28.22,200,211
28.263,200,553
28.306,200,250
28.35,201,409
28.393,201,400
28.436,201,226
28.48,202,559
28.523,202,237
28.566,202,435
28.61,203,457
28.653,203,221
28.696,203,570
28.74,204,286
28.783,204,445
28.826,204,416
28.87,204,227
28.913,205,563
28.956,205,281
29.001,205,337
29.045,206,508
29.088,206,310
29.132,206,444
29.175,207,424
29.219,207,327
29.263,207,429
29.306,208,371
29.35,208,355
29.393,208,456
29.436,208,331
29.48,209,476
29.523,209,275
29.566,209,355
29.61,210,479
29.653,210,243
29.696,210,455
29.74,211,350
29.783,211,355
29.826,211,467
29.87,212,248
29.913,212,476
29.956,212,362
30.0,213,286
30.039,213,376
