Temperatura,Umidade,Analogico,Hora,Sopro
26.1,70.0,4095.0,9.53456449508667,SEM SOPRO
26.1,70.0,4095.0,9.614930868148804,SEM SOPRO
26.1,70.0,4095.0,9.694652557373047,SEM SOPRO
26.1,70.0,4095.0,9.773800373077393,SEM SOPRO
26.1,70.0,4095.0,9.85455846786499,SEM SOPRO
26.1,70.0,4095.0,9.93432903289795,SEM SOPRO
26.1,70.0,4095.0,10.015644311904907,SEM SOPRO
26.1,70.0,4095.0,10.094974040985107,SEM SOPRO
26.1,70.0,4095.0,10.174591302871704,SEM SOPRO
26.2,69.0,4095.0,10.279228448867798,SEM SOPRO
26.2,69.0,4095.0,10.359909057617188,SEM SOPRO
26.2,69.0,4095.0,10.439621448516846,SEM SOPRO
26.2,69.0,4095.0,10.51912546157837,SEM SOPRO
26.2,69.0,4095.0,10.59943437576294,SEM SOPRO
26.2,69.0,4095.0,10.6799156665802,SEM SOPRO
26.2,69.0,4095.0,10.759037971496582,SEM SOPRO
26.2,69.0,4095.0,10.839654207229614,SEM SOPRO
26.2,69.0,4095.0,10.920093297958374,SEM SOPRO
26.2,69.0,4095.0,10.999019622802734,SEM SOPRO
26.2,69.0,4095.0,11.07899522781372,SEM SOPRO
26.2,69.0,4095.0,11.159663438796997,SEM SOPRO
26.2,69.0,4095.0,11.240353345870972,SEM SOPRO
26.2,69.0,4095.0,11.319283723831177,SEM SOPRO
26.2,69.0,4095.0,11.398942232131958,SEM SOPRO
26.2,69.0,4095.0,11.479590654373169,SEM SOPRO
26.2,69.0,4095.0,11.559558153152466,SEM SOPRO
26.2,69.0,4095.0,11.63857626914978,SEM SOPRO
26.2,69.0,4095.0,11.719256162643433,SEM SOPRO
26.2,69.0,4095.0,11.799835681915283,SEM SOPRO
26.2,69.0,4095.0,11.87954831123352,SEM SOPRO
26.2,69.0,4095.0,11.959643840789795,SEM SOPRO
26.2,69.0,4095.0,12.039533615112305,SEM SOPRO
26.2,69.0,4095.0,12.119615316390991,SEM SOPRO
26.2,69.0,4095.0,12.199033975601196,SEM SOPRO
26.2,70.0,4095.0,12.30419921875,SEM SOPRO
26.2,70.0,4095.0,12.384147882461548,SEM SOPRO
26.2,70.0,4095.0,12.464919328689575,SEM SOPRO
26.2,70.0,4095.0,12.545021057128906,SEM SOPRO
26.2,70.0,4095.0,12.624260902404785,SEM SOPRO
26.2,70.0,4095.0,12.704182624816895,SEM SOPRO
26.2,70.0,4095.0,12.784265518188477,SEM SOPRO
26.2,70.0,4095.0,12.864888191223145,SEM SOPRO
26.2,70.0,4095.0,12.944540739059448,SEM SOPRO
26.2,70.0,4095.0,13.024601936340332,SEM SOPRO
26.2,70.0,4095.0,13.104495525360107,SEM SOPRO
26.2,70.0,4095.0,13.18488097190857,SEM SOPRO
26.2,70.0,4095.0,13.264462947845459,SEM SOPRO
26.2,70.0,4095.0,13.34463381767273,SEM SOPRO
26.2,70.0,4095.0,13.42456865310669,SEM SOPRO
26.2,70.0,4095.0,13.505154132843018,SEM SOPRO
26.2,70.0,4095.0,13.584322214126587,SEM SOPRO
26.2,70.0,4095.0,13.664685010910034,SEM SOPRO
26.2,70.0,4095.0,13.744630813598633,SEM SOPRO
26.2,70.0,4095.0,13.824723720550537,SEM SOPRO
26.2,70.0,4095.0,13.903673887252808,SEM SOPRO
26.2,70.0,4095.0,13.983742475509644,SEM SOPRO
26.2,70.0,4095.0,14.064634323120117,SEM SOPRO
26.2,70.0,4095.0,14.14464783668518,SEM SOPRO
26.2,70.0,4095.0,14.224438190460205,SEM SOPRO
26.1,70.0,4095.0,14.32927942276001,SOPRANDO
26.1,70.0,4095.0,14.4095778465271,SOPRANDO
26.1,70.0,4095.0,14.489577531814575,SOPRANDO
26.1,70.0,4095.0,14.569141626358032,SOPRANDO
26.1,70.0,4095.0,14.649341106414795,SOPRANDO
26.1,70.0,4095.0,14.7296884059906,SOPRANDO
26.1,70.0,4095.0,14.809546709060669,SOPRANDO
26.1,70.0,4095.0,14.889559030532837,SOPRANDO
26.1,70.0,4095.0,14.969587564468384,SOPRANDO
26.1,70.0,4095.0,15.049313068389893,SOPRANDO
26.1,70.0,4095.0,15.129530429840088,SOPRANDO
26.1,70.0,4095.0,15.20925521850586,SOPRANDO
26.1,70.0,4095.0,15.289729356765747,SOPRANDO
26.1,70.0,4095.0,15.36919093132019,SOPRANDO
26.1,70.0,4095.0,15.44922399520874,SOPRANDO
26.1,70.0,4095.0,15.528699398040771,SOPRANDO
26.1,70.0,4095.0,15.609697103500366,SOPRANDO
26.1,70.0,4095.0,15.689118146896362,SOPRANDO
26.1,70.0,4095.0,15.7696053981781,SOPRANDO
26.1,70.0,4095.0,15.849792957305908,SOPRANDO
26.1,70.0,4095.0,15.929731369018555,SOPRANDO
26.1,70.0,4095.0,16.0097815990448,SOPRANDO
26.1,70.0,4095.0,16.089655876159668,SOPRANDO
