Temperatura,Umidade,Analogico,Hora
46.1,38.0,4095.0,0.018535375595092773
46.1,38.0,4095.0,0.10150814056396484
46.1,38.0,4095.0,0.18802785873413086
46.1,38.0,4095.0,0.2680628299713135
46.1,38.0,4095.0,0.34766459465026855
46.1,38.0,4095.0,0.4280366897583008
46.1,38.0,4095.0,0.5081038475036621
46.1,38.0,4095.0,0.5880818367004395
46.1,38.0,4095.0,0.6679372787475586
46.1,38.0,4095.0,0.7484631538391113
45.9,38.0,4095.0,0.8519425392150879
45.9,38.0,4095.0,0.9330253601074219
45.9,38.0,4095.0,1.01271390914917
45.9,38.0,4095.0,1.0927152633666992
45.9,38.0,4095.0,1.1724905967712402
45.9,38.0,4095.0,1.252969741821289
45.9,38.0,4095.0,1.3331186771392822
45.9,38.0,4095.0,1.4130854606628418
45.9,38.0,4095.0,1.493070363998413
45.9,38.0,4095.0,1.5727581977844238
45.9,38.0,4095.0,1.652397871017456
45.9,38.0,4095.0,1.7330396175384521
45.9,38.0,4095.0,1.8130290508270264
45.9,38.0,4095.0,1.8922080993652344
45.9,38.0,4095.0,1.9722559452056885
45.9,38.0,4095.0,2.0519227981567383
45.9,38.0,4095.0,2.13297963142395
45.9,38.0,4095.0,2.2130274772644043
45.9,38.0,4095.0,2.292619228363037
45.9,38.0,4095.0,2.372727632522583
45.9,38.0,4095.0,2.4525089263916016
45.9,38.0,4095.0,2.533257484436035
45.9,38.0,4095.0,2.6131985187530518
45.9,38.0,4095.0,2.6931419372558594
45.9,38.0,4095.0,2.772585153579712
46.1,38.0,4095.0,2.878420114517212
46.1,38.0,4095.0,2.9578757286071777
46.1,38.0,4095.0,3.036993980407715
46.1,38.0,4095.0,3.1179566383361816
46.1,38.0,4095.0,3.1981074810028076
46.1,38.0,4095.0,3.277989387512207
46.1,38.0,4095.0,3.357184410095215
46.1,38.0,4095.0,3.4377570152282715
46.1,38.0,4095.0,3.5181355476379395
46.1,38.0,4095.0,3.5981171131134033
46.1,38.0,4095.0,3.678150177001953
46.1,38.0,4095.0,3.757704734802246
46.1,38.0,4095.0,3.8371798992156982
46.1,38.0,4095.0,3.917371988296509
46.1,38.0,4095.0,3.9980499744415283
46.1,38.0,4095.0,4.077563285827637
46.1,38.0,4095.0,4.157676458358765
46.1,38.0,4095.0,4.237264156341553
46.1,38.0,4095.0,4.317999362945557
46.1,38.0,4095.0,4.398072242736816
46.1,38.0,4095.0,4.47753119468689
46.1,38.0,4095.0,4.557735204696655
46.1,38.0,4095.0,4.637269020080566
46.1,38.0,4095.0,4.718251466751099
46.1,38.0,4095.0,4.798056602478027
45.9,38.0,4095.0,4.9029834270477295
45.9,38.0,4095.0,4.982617378234863
45.9,38.0,4095.0,5.0623650550842285
45.9,38.0,4095.0,5.142627716064453
45.9,38.0,4095.0,5.222409248352051
45.9,38.0,4095.0,5.302793502807617
45.9,38.0,4095.0,5.382866859436035
45.9,38.0,4095.0,5.463167667388916
45.9,38.0,4095.0,5.54274320602417
45.9,38.0,4095.0,5.623262643814087
45.9,38.0,4095.0,5.702845335006714
45.9,38.0,4095.0,5.782991886138916
45.9,38.0,4095.0,5.863145589828491
45.9,38.0,4095.0,5.943089246749878
45.9,38.0,4095.0,6.022712230682373
45.9,38.0,4095.0,6.102575302124023
45.9,38.0,4095.0,6.183074712753296
45.9,38.0,4095.0,6.2631120681762695
45.9,38.0,4095.0,6.343041181564331
45.9,38.0,4095.0,6.422657251358032
45.9,38.0,4095.0,6.502841949462891
45.9,38.0,4095.0,6.583235740661621
45.9,38.0,4095.0,6.662887096405029
45.9,38.0,4095.0,6.742357015609741
45.9,38.0,4095.0,6.822927236557007
46.1,38.0,4095.0,6.927782773971558
46.1,38.0,4095.0,7.007994651794434
46.1,38.0,4095.0,7.087374925613403
46.1,38.0,4095.0,7.168196678161621
46.1,38.0,4095.0,7.248011827468872
46.1,38.0,4095.0,7.327716827392578
46.1,38.0,4095.0,7.407888412475586
46.1,38.0,4095.0,7.488016843795776
46.1,38.0,4095.0,7.568017244338989
46.1,38.0,4095.0,7.648038148880005
46.1,38.0,4095.0,7.72809362411499
46.1,38.0,4095.0,7.807732105255127
46.1,38.0,4095.0,7.888115644454956
46.1,38.0,4095.0,7.968440055847168
46.1,38.0,4095.0,8.04813265800476
46.1,38.0,4095.0,8.127455949783325
46.1,38.0,4095.0,8.20807671546936
46.1,38.0,4095.0,8.287397384643555
46.1,38.0,4095.0,8.368116855621338
46.1,38.0,4095.0,8.448094129562378
46.1,38.0,4095.0,8.527748107910156
46.1,38.0,4095.0,8.60816478729248
46.1,38.0,4095.0,8.68798303604126
46.1,38.0,4095.0,8.768008470535278
46.1,38.0,4095.0,8.84827971458435
45.9,38.0,4095.0,8.952951669692993
45.9,38.0,4095.0,9.033109903335571
45.9,38.0,4095.0,9.113094091415405
45.9,38.0,4095.0,9.19261884689331
45.9,38.0,4095.0,9.272297620773315
45.9,38.0,4095.0,9.352502822875977
45.9,38.0,4095.0,9.433077096939087
45.9,38.0,4095.0,9.513052463531494
45.9,38.0,4095.0,9.593153715133667
45.9,38.0,4095.0,9.672835350036621
45.9,38.0,4095.0,9.75242805480957
45.9,38.0,4095.0,9.833195924758911
45.9,38.0,4095.0,9.913194417953491
45.9,38.0,4095.0,9.99315619468689
45.9,38.0,4095.0,10.072142124176025
45.9,38.0,4095.0,10.152735948562622
45.9,38.0,4095.0,10.233094453811646
45.9,38.0,4095.0,10.313094139099121
45.9,38.0,4095.0,10.392686128616333
45.9,38.0,4095.0,10.472869396209717
45.9,38.0,4095.0,10.552894353866577
45.9,38.0,4095.0,10.632405519485474
45.9,38.0,4095.0,10.712910413742065
45.9,38.0,4095.0,10.792832136154175
45.9,38.0,4095.0,10.872639179229736
46.1,38.0,4095.0,10.977904796600342
46.1,38.0,4095.0,11.05814242362976
46.1,38.0,4095.0,11.137611865997314
46.1,38.0,4095.0,11.218052864074707
46.1,38.0,4095.0,11.29819130897522
46.1,38.0,4095.0,11.37826681137085
46.1,38.0,4095.0,11.458001613616943
46.1,38.0,4095.0,11.537712335586548
46.1,38.0,4095.0,11.618295192718506
46.1,38.0,4095.0,11.698267698287964
46.1,38.0,4095.0,11.778208255767822
46.1,38.0,4095.0,11.857742547988892
46.1,38.0,4095.0,11.938095331192017
46.1,38.0,4095.0,12.018061876296997
46.1,38.0,4095.0,12.0982985496521
46.1,38.0,4095.0,12.1782865524292
46.1,38.0,4095.0,12.257872581481934
46.1,38.0,4095.0,12.337475299835205
46.1,38.0,4095.0,12.418168067932129
46.1,38.0,4095.0,12.498253583908081
46.1,38.0,4095.0,12.57816767692566
46.1,38.0,4095.0,12.657667875289917
46.1,38.0,4095.0,12.737979412078857
46.1,38.0,4095.0,12.81794261932373
46.1,38.0,4095.0,12.898184061050415
46.1,39.0,4095.0,13.002955436706543
46.1,39.0,4095.0,13.0828697681427
46.1,39.0,4095.0,13.163263320922852
46.1,39.0,4095.0,13.243288278579712
46.1,39.0,4095.0,13.32318925857544
46.1,39.0,4095.0,13.40291714668274
46.1,39.0,4095.0,13.483219623565674
46.1,39.0,4095.0,13.563068628311157
46.1,39.0,4095.0,13.643097639083862
46.1,39.0,4095.0,13.722834348678589
46.1,39.0,4095.0,13.802997350692749
46.1,39.0,4095.0,13.88328742980957
46.1,39.0,4095.0,13.96320366859436
46.1,39.0,4095.0,14.043171405792236
46.1,39.0,4095.0,14.122840881347656
46.1,39.0,4095.0,14.20233678817749
46.1,39.0,4095.0,14.283198833465576
46.1,39.0,4095.0,14.36309266090393
46.1,39.0,4095.0,14.443209409713745
46.1,39.0,4095.0,14.522766351699829
46.1,39.0,4095.0,14.602607011795044
46.1,39.0,4095.0,14.683274030685425
46.1,39.0,4095.0,14.76328182220459
46.1,39.0,4095.0,14.842246770858765
46.1,39.0,4095.0,14.923116207122803
45.9,38.0,4095.0,15.028056621551514
45.9,38.0,4095.0,15.10819935798645
45.9,38.0,4095.0,15.187793970108032
45.9,38.0,4095.0,15.268106937408447
45.9,38.0,4095.0,15.348246335983276
45.9,38.0,4095.0,15.427426099777222
45.9,38.0,4095.0,15.507997035980225
45.9,38.0,4095.0,15.587817668914795
45.9,38.0,4095.0,15.668108224868774
45.9,38.0,4095.0,15.748304843902588
45.9,38.0,4095.0,15.828148126602173
45.9,38.0,4095.0,15.908117294311523
45.9,38.0,4095.0,15.987700700759888
45.9,38.0,4095.0,16.068158626556396
45.9,38.0,4095.0,16.14827299118042
45.9,38.0,4095.0,16.22824716567993
45.9,38.0,4095.0,16.308239698410034
45.9,38.0,4095.0,16.387582778930664
45.9,38.0,4095.0,16.46839213371277
45.9,38.0,4095.0,16.54779028892517
45.9,38.0,4095.0,16.628148794174194
45.9,38.0,4095.0,16.70769476890564
45.9,38.0,4095.0,16.787529945373535
45.9,38.0,4095.0,16.86810612678528
45.9,38.0,4095.0,16.948314428329468
45.9,38.0,4095.0,17.052850008010864
45.9,38.0,4095.0,17.133097648620605
45.9,38.0,4095.0,17.213325023651123
45.9,38.0,4095.0,17.29329824447632
45.9,38.0,4095.0,17.372811317443848
45.9,38.0,4095.0,17.452815532684326
45.9,38.0,4095.0,17.53309917449951
45.9,38.0,4095.0,17.613466262817383
45.9,38.0,4095.0,17.693116664886475
45.9,38.0,4095.0,17.772512674331665
45.9,38.0,4095.0,17.852896213531494
45.9,38.0,4095.0,17.933187246322632
45.9,38.0,4095.0,18.013323307037354
45.9,38.0,4095.0,18.09288454055786
